_STATUS_FASTA_EISYGD	JOB_L	0x31E1 & 0x33E1    Ansteuern und Auslesen Eisy-Adaptionswerte (gedrosselt)	0x31E1 & 0x33E1 Control and read Eisy adaptation values (throttled)	0x31E1 et 0x33E1 Contrôle et lecture des valeurs d'adaptation Eisy (limitées)
_STATUS_FASTA_EISYGD	JOB_S	0x31E1 & 0x33E1    Ansteuern und Auslesen Eisy-Adaptionswerte (gedrosselt)	0x31E1 & 0x33E1 Control and read Eisy adaptation values (throttled)	0x31E1 et 0x33E1 Contrôle et lecture des valeurs d'adaptation Eisy (limitées)
_STATUS_FASTA_EISYUGD	JOB_L	0x31E0 & 0x33E0    Ansteuern und Auslesen Eisy-Adaptionswerte (ungedrosselt)	0x31E0 & 0x33E0 Control and read Eisy adaptation values (unthrottled)	0x31E0 et 0x33E0 Contrôle et lecture des valeurs d'adaptation Eisy (non bridées)
_STATUS_FASTA_EISYUGD	JOB_S	0x31E0 & 0x33E0    Ansteuern und Auslesen Eisy-Adaptionswerte (ungedrosselt)	0x31E0 & 0x33E0 Control and read Eisy adaptation values (unthrottled)	0x31E0 et 0x33E0 Contrôle et lecture des valeurs d'adaptation Eisy (non bridées)
_STATUS_FASTA_KRANN	JOB_L	0x31E3 & 0x33E3    Ansteuern und Auslesen Krann-Adaptionswerte	0x31E3 & 0x33E3 Control and read crane adaptation values	0x31E3 et 0x33E3 : Contrôle et lecture des valeurs d’adaptation de la grue
_STATUS_FASTA_KRANN	JOB_S	0x31E3 & 0x33E3    Ansteuern und Auslesen Krann-Adaptionswerte	0x31E3 & 0x33E3 Control and read crane adaptation values	0x31E3 et 0x33E3 : Contrôle et lecture des valeurs d’adaptation de la grue
_STATUS_FASTA_TECU	JOB_L	0x23 Auslesen der DME-Temperaturstatistik	0x23 Reading the DME temperature statistics	0x23 Lecture des statistiques de température du DME
_STATUS_FASTA_TECU	JOB_S	0x23 Auslesen der DME-Temperaturstatistik	0x23 Reading the DME temperature statistics	0x23 Lecture des statistiques de température du DME
_STATUS_INPA_EISYGD	JOB_L	0x31E1 & 0x33E1    Ansteuern und Auslesen Eisy-Adaptionswerte (gedrosselt)	0x31E1 & 0x33E1 Control and read Eisy adaptation values (throttled)	0x31E1 et 0x33E1 Contrôle et lecture des valeurs d'adaptation Eisy (limitées)
_STATUS_INPA_EISYGD	JOB_S	0x31E1 & 0x33E1    Ansteuern und Auslesen Eisy-Adaptionswerte (gedrosselt)	0x31E1 & 0x33E1 Control and read Eisy adaptation values (throttled)	0x31E1 et 0x33E1 Contrôle et lecture des valeurs d'adaptation Eisy (limitées)
_STATUS_INPA_EISYUGD	JOB_L	0x31E0 & 0x33E0    Ansteuern und Auslesen Eisy-Adaptionswerte (ungedrosselt)	0x31E0 & 0x33E0 Control and read Eisy adaptation values (unthrottled)	0x31E0 et 0x33E0 Contrôle et lecture des valeurs d'adaptation Eisy (non bridées)
_STATUS_INPA_EISYUGD	JOB_S	0x31E0 & 0x33E0    Ansteuern und Auslesen Eisy-Adaptionswerte (ungedrosselt)	0x31E0 & 0x33E0 Control and read Eisy adaptation values (unthrottled)	0x31E0 et 0x33E0 Contrôle et lecture des valeurs d'adaptation Eisy (non bridées)
_STATUS_INPA_KRANN	JOB_L	0x31E3 & 0x33E3    Ansteuern und Auslesen Krann-Adaptionswerte	0x31E3 & 0x33E3 Control and read crane adaptation values	0x31E3 et 0x33E3 : Contrôle et lecture des valeurs d’adaptation de la grue
_STATUS_INPA_KRANN	JOB_S	0x31E3 & 0x33E3    Ansteuern und Auslesen Krann-Adaptionswerte	0x31E3 & 0x33E3 Control and read crane adaptation values	0x31E3 et 0x33E3 : Contrôle et lecture des valeurs d’adaptation de la grue
_STATUS_OBD_MODE_01	JOB_L	0x0101 _STATUS_OBD_MODE_01	0x0101 OBD mode 01 - Current powertrain data	0x0101 _STATUS_OBD_MODE_01
_STATUS_OBD_MODE_01	JOB_S	0x0101 _STATUS_OBD_MODE_01	0x0101 OBD mode 01 - Current powertrain data	0x0101 _STATUS_OBD_MODE_01
_STATUS_OBD_MODE_03	JOB_L	0x03 _STATUS_OBD_MODE_03	0x03 OBD mode 03 - Stored emission-related DTCs	0x03 _STATUS_OBD_MODE_03
_STATUS_OBD_MODE_03	JOB_S	0x03 _STATUS_OBD_MODE_03	0x03 OBD mode 03 - Stored emission-related DTCs	0x03 _STATUS_OBD_MODE_03
_STATUS_OBD_MODE_07	JOB_L	0x07 _STATUS_OBD_MODE_07	0x07 OBD mode 07 - Pending emission-related DTCs	0x07 _STATUS_OBD_MODE_07
_STATUS_OBD_MODE_07	JOB_S	0x07 _STATUS_OBD_MODE_07	0x07 OBD mode 07 - Pending emission-related DTCs	0x07 _STATUS_OBD_MODE_07
AIF_LESEN	JOB_L	Auslesen des Anwender-Info-Feldes	Reading the user information field	Lecture du champ d'informations utilisateur
AIF_LESEN	JOB_S	Auslesen des Anwender-Info-Feldes	Reading the user information field	Lecture du champ d'informations utilisateur
AUTHENTISIERUNG_START	JOB_L	Authentisierung pruefen	Verify authentication	Vérifier l'authentification
AUTHENTISIERUNG_START	JOB_S	Authentisierung pruefen	Verify authentication	Vérifier l'authentification
