ARG	ID	RESULTNAME		EINHEIT	LABEL	DATENTYP	NAME	INFO
ITANS	0x4200	STAT_ANSAUGLUFTTEMPERATUR_WERT	Air intake temperature	°C	TIA	unsigned char	-	Ansauglufttemperatur 1
-	0x4201	STAT_0x4201_WERT		hPa	AMP_MES	unsigned integer	-	Umgebungsdruck
IPSAU	0x4202	STAT_SAUGROHRDRUCK_WERT	Intake manifold pressure	hPa	MAP_MES	unsigned integer	-	Saugrohrdruck
ILMKG	0x4203	STAT_LUFTMASSE_WERT	Air mass	kg/h	MAF_KGH_MES	unsigned integer	-	Massenstrom vom HFM
ITUMG	0x4204	STAT_UMGEBUNGSTEMPERATUR_WERT	Ambient temperature	°C	TAM	unsigned char	-	Umgebungstemperatur
IPLAD	0x4205	STAT_LADEDRUCK_WERT	Boost pressure	hPa	MAP_DIP_MES_BAS	unsigned integer	-	Saugrohrdruck 1 / Ladedruck 1
ITKUM	0x4300	STAT_KUEHLMITTELTEMPERATUR_WERT	Engine temp.	°C	TCO	unsigned char	-	Kühlwassertemperatur
-	0x4301	STAT_0x4301_WERT		°C	TCO_2	unsigned char	-	Kuehlerauslasstemperatur
IPWAB	0x4302	STAT_WASSERPUMPENLEISTUNG_BSD_WERT	Water pump output via BSD	%	REL_CWP_PWR	unsigned char	-	Wasserpumpe Leistung ueber BSD
ITWAE	0x4303	STAT_WASSERPUMPE_ELEKTRONIK_TEMPERATUR_WERT	Recommended temperature of BSS water pump	°C	TEMP_EL_CWP	unsigned char	-	Wasserpumpe Elektronik Temperatur
IIWAP	0x4304	STAT_WASSERPUMPE_STROM_WERT	Current from water pump	A	CUR_CNS_CWP	unsigned char	-	Wasserpumpe Strom
INWAP	0x4305	STAT_WASSERPUMPE_DREHZAHL_WERT	Water pump RPM	-	N_REL_CWP	unsigned char	-	Wasserpumpe Drehzahl Ist
SNWAP	0x4306	STAT_WASSERPUMPE_DREHZAHL_SOLL_WERT	BSS Waterpump target RPM	-	N_REL_CWP_SP	unsigned char	-	Wasserpumpe Drehzahl Soll
IMLOE	0x4400	STAT_OELSTAND_LANGZEIT_MITTEL_WERT	Oil level average long-term	-	OZ_NIVLANGT	unsigned char	-	Ölstand Mittelwert Langzeit
IFSOE	0x4401	STAT_FUELLSTAND_MOTOROEL_KURZZEIT_WERT	Oil level - brief	-	OZ_LP	unsigned char	-	Füllstand Motoröl
ITOEL	0x4402	STAT_OELTEMPERATUR_WERT	Motor oil temp.	°C	TOEL	signed integer	-	Öltemperatur
IKVLS	0x4403	STAT_KRAFTSTOFFVERBRAUCH_SEIT_SERVICE_WERT	Fuel consumption since last service	-	OZ_KVBSM_UL	unsigned long	-	Kraftstoff-Verbrauch seit letztem Service
IKMLS	0x4404	STAT_WEG_SEIT_SERVICE_WERT	KM reading since last service	km	OZ_OELKM	unsigned integer	-	km seit letztem Service
RNIOE	0x4405	STAT_OELSENSOR_NIVEAU_ROH_WERT	Oil sensor level raw value	-	OZ_NIVR	unsigned char	-	Oelsensor Niveau Rohwert
RQUOE	0x4406	STAT_OELSENSOR_QUALITAET_ROH_WERT	Oil sensor quality raw value	-	OZ_PERMR	unsigned integer	-	Oelsensor Qualität Rohwert
RTOEL	0x4407	STAT_OELSENSOR_TEMPERATUR_ROH_WERT	Oil sensor temperature raw value	-	OZ_TEMPR	unsigned char	-	Oelsensor Temperatur Rohwert
ITSOE	0x4408	STAT_OELSENSOR_TEMPERATUR_WERT	Oil sensor temperature	°C	OZ_TEMPAKT	signed integer	-	Oelsensor Temperatur
INIOE	0x4409	STAT_OELSENSOR_NIVEAU_WERT	Oil sensor level	-	OZ_NIVAKT	unsigned char	-	Oelsensor Niveau
IQOEL	0x440A	STAT_OELSENSOR_QUALITAET_WERT	Oil sensor quality	-	OZ_PERMAKT	unsigned integer	-	Oelsensor Qualität
-	0x440B	STAT_0x440B_WERT		-	OZ_LF1C	unsigned char	-	Länderfaktor 1 codiert
-	0x440C	STAT_0x440C_WERT		-	OZ_LF2C	unsigned char	-	Länderfaktor 2 codiert
-	0x440D	STAT_0x440D_WERT		-	OZ_LF1T	unsigned char	-	Länderfaktor 1
-	0x440E	STAT_0x440E_WERT		-	OZ_LF2T	unsigned char	-	Länderfaktor 2
-	0x440F	STAT_0x440F_WERT		-	OZ_NIVKRZT	unsigned char	-	Kurzmittelwert-Niveau für den Tester
-	0x4410	STAT_0x4410_WERT		km	OZ_RWPERM	signed integer	-	Restweg aus Permittivität abgeleitet
-	0x4411	STAT_0x4411_WERT		km	OZ_RWKVB	signed integer	-	Restweg aus Kraftstoffverbrauch abgeleitet
-	0x4412	STAT_0x4412_WERT		-	OZ_OELZEIT	unsigned integer	-	Öl-Alter in Monate
-	0x4413	STAT_0x4413_WERT		-	OZ_PERMLOW	unsigned integer	-	aufbereitete Permittivität bei letztem Ölwechsel
-	0x4414	STAT_0x4414_WERT		-	OZ_PERMEX	unsigned integer	-	Permittivität für Bewertung aufbereitet (extrapoliert)
-	0x4415	STAT_0x4415_WERT		-	OZ_PERMOFF	unsigned integer	-	Offset für Permittivitätskorrektur
-	0x4416	STAT_0x4416_WERT		-	OZ_KVBOG	unsigned integer	-	zugeteilte Bonuskraftstoffmenge
-	0x4417	STAT_0x4417_WERT		-	OZ_PERMBOG	unsigned integer	-	zugeteilter Permittivitätsbonus
IWVEX	0x4500	STAT_VVT_EXCENTER_WERT	VVT eccentric actual value	Grad	ANG_EXC_VVL	unsigned integer	-	VVT-Excenter Istwert
SWVEX	0x4501	STAT_VVT_EXCENTER_SOLL_WERT	VVT eccentric setpoint	°	ANG_SP_VVL	unsigned integer	-	VVT-Excenter Sollwert
IWVVB	0x4502	STAT_VVT_VERSTELLBEREICH_LERNROUTINE_WERT	Mechanical adjustment range VVT from learning routine	Grad	ANG_STK_VVL	unsigned integer	-	Mechanischer Verstellbereich VVT aus Lernroutine
SWVLR	0x4503	STAT_VVT_LAGEREGLER_SOLL_WERT	Target value for position controller from the tester	°	ANG_SP_VVL_CUS	unsigned integer	-	Sollwert für Lageregler
SWVLT	0x4504	STAT_VVT_LAGEREGLER_SOLL_VON_TESTER_WERT	Target value inlet spread	Grad	ANG_SP_EXT_ADJ_VVL	unsigned char	-	Sollwert für Lageregler vom Tester
SSPEI	0x4505	STAT_VVT_EINLASSSPREIZUNG_SOLL_WERT	Target value inlet spread	°CRK	CAM_SP_IVVT_IN	signed integer	-	Sollwert Einlassspreizung
IPNWE	0x4506	STAT_POSITION_NOCKENWELLE_EINLASS_WERT	Camshaft position intake	°CRK	PSN_CAM_IN_1	unsigned integer	-	Nockenwellenposition Einlass
IPNWA	0x4507	STAT_POSITION_NOCKENWELLE_AUSLASS_WERT	Camshaft position exhaust	°CRK	PSN_CAM_EX_1	unsigned integer	-	Nockenwellenposition Auslass
ISNWE	0x4508	STAT_NW_EINLASSSPREIZUNG_WERT	Camshaft inlet spread	°CRK	CAM_IN[1]	signed integer	-	Istwert Einlassspreizung
ISNWA	0x4509	STAT_NW_AUSLASSSPREIZUNG_WERT	Camshaft outlet spread	°CRK	CAM_EX[1]	unsigned char	-	Istwert Auslassspreizung
NSNWA	0x450A	STAT_NW_NORMSPREIZUNG_AUSLASS_WERT	Standard spread outlet	°CRK	CAM_SP_REF_EX	signed integer	-	Normspreizung Auslass
NSNWE	0x450B	STAT_NW_NORMSPREIZUNG_EINLASS_WERT	Standard spread inlet	°CRK	CAM_SP_REF_IN	signed integer	-	Normspreizung Einlass
IWDKL	0x4600	STAT_DROSSELKLAPPENWINKEL_WERT	Throttle position	°TPS	TPS_AV	unsigned integer	-	aktueller Drosselklappenwinkel
SWDKL	0x4601	STAT_DROSSELKLAPPENWINKEL_SOLL_WERT	Throttle position target	°TPS	TPS_SP_MDL	unsigned integer	-	Drosselklappe Sollwert
SUGEB	0x4602	STAT_GENERATOR_SPANNUNG_BSD_SOLL_WERT	Generator target voltage via BSD	V	V_ALTER_SP	unsigned long	-	Generator Sollspannung ueber BSD
ITGEE	0x4603	STAT_GENERATOR_ELEKTRONIKTEMPERATUR_WERT	Chip temperature of the controller (BSD, LIN, SGR - resolution 1 °C)	°C	TCHIP	signed integer	-	Chiptemperatur Generator 1
IIGEN	0x4604	STAT_GENERATOR_STROM_WERT	Generator current	-	I_GEN	unsigned char	-	Generator Strom
VGENE	0x4605	STAT_GENERATOR_CHIPVERSION_WERT	Chip version Generator 1	-	BSDGENCV	unsigned char	-	Chipversion Generator 1
VGENR	0x4606	STAT_GENERATOR_REGLERVERSION_WERT	Regulator version Generator 1	-	BSDGENREGV	unsigned char	-	Reglerversion Generator 1
VGENH	0x4607	STAT_GENERATOR_HERSTELLERCODE_WERT	Manufacturer Code Generator 1	-	GEN_MANUFAK	unsigned char	-	Herstellercode Generator 1
VGTYP	0x4608	STAT_GENERATOR_TYP_WERT	Identifier Generator type Generator 1	-	GEN_TYPKENN	unsigned char	-	Kennung Generatortyp Generator 1
