ARG	ID	RESULTNAME	KOMMENTAR	LABEL	DATENTYP	NAME	EINHEIT	
ITANS	0x4200	STAT_ANSAUGLUFTTEMPERATUR_WERT	Ansauglufttemperatur 1	TIA	unsigned char	-	°C	
-	0x4201	STAT_0x4201_WERT	Umgebungsdruck	AMP_MES	unsigned integer	-	hPa	
IPSAU	0x4202	STAT_SAUGROHRDRUCK_WERT	Saugrohrdruck	MAP_MES	unsigned integer	-	hPa	
ILMKG	0x4203	STAT_LUFTMASSE_WERT	Massenstrom vom HFM	MAF_KGH_MES	unsigned integer	-	kg/h	
ITUMG	0x4204	STAT_UMGEBUNGSTEMPERATUR_WERT	Umgebungstemperatur	TAM	unsigned char	-	°C	
IPLAD	0x4205	STAT_LADEDRUCK_WERT	Saugrohrdruck 1 / Ladedruck 1	MAP_DIP_MES_BAS	unsigned integer	-	hPa	
ITKUM	0x4300	STAT_KUEHLMITTELTEMPERATUR_WERT	Kühlwassertemperatur	TCO	unsigned char	-	°C	
-	0x4301	STAT_0x4301_WERT	Kuehlerauslasstemperatur	TCO_2	unsigned char	-	°C	
IPWAB	0x4302	STAT_WASSERPUMPENLEISTUNG_BSD_WERT	Wasserpumpe Leistung ueber BSD	REL_CWP_PWR	unsigned char	-	%	
ITWAE	0x4303	STAT_WASSERPUMPE_ELEKTRONIK_TEMPERATUR_WERT	Wasserpumpe Elektronik Temperatur	TEMP_EL_CWP	unsigned char	-	°C	
IIWAP	0x4304	STAT_WASSERPUMPE_STROM_WERT	Wasserpumpe Strom	CUR_CNS_CWP	unsigned char	-	A	
INWAP	0x4305	STAT_WASSERPUMPE_DREHZAHL_WERT	Wasserpumpe Drehzahl Ist	N_REL_CWP	unsigned char	-	-	
SNWAP	0x4306	STAT_WASSERPUMPE_DREHZAHL_SOLL_WERT	Wasserpumpe Drehzahl Soll	N_REL_CWP_SP	unsigned char	-	-	
IMLOE	0x4400	STAT_OELSTAND_LANGZEIT_MITTEL_WERT	Ölstand Mittelwert Langzeit	OZ_NIVLANGT	unsigned char	-	mm manuell	
IFSOE	0x4401	STAT_FUELLSTAND_MOTOROEL_KURZZEIT_WERT	Füllstand Motoröl	OZ_LP	unsigned char	-	%	
ITOEL	0x4402	STAT_OELTEMPERATUR_WERT	Öltemperatur	TOEL	signed integer	-	°C	
IKVLS	0x4403	STAT_KRAFTSTOFFVERBRAUCH_SEIT_SERVICE_WERT	Kraftstoff-Verbrauch seit letztem Service	OZ_KVBSM_UL	unsigned long	-	l manuell	
IKMLS	0x4404	STAT_WEG_SEIT_SERVICE_WERT	km seit letztem Service	OZ_OELKM	unsigned integer	-	km	
RNIOE	0x4405	STAT_OELSENSOR_NIVEAU_ROH_WERT	Oelsensor Niveau Rohwert	OZ_NIVR	unsigned char	-	-	
RQUOE	0x4406	STAT_OELSENSOR_QUALITAET_ROH_WERT	Oelsensor Qualität Rohwert	OZ_PERMR	unsigned integer	-	-	
RTOEL	0x4407	STAT_OELSENSOR_TEMPERATUR_ROH_WERT	Oelsensor Temperatur Rohwert	OZ_TEMPR	unsigned char	-	-	
ITSOE	0x4408	STAT_OELSENSOR_TEMPERATUR_WERT	Oelsensor Temperatur	OZ_TEMPAKT	signed integer	-	°C	
INIOE	0x4409	STAT_OELSENSOR_NIVEAU_WERT	Oelsensor Niveau	OZ_NIVAKT	unsigned char	-	mm manuell	
IQOEL	0x440A	STAT_OELSENSOR_QUALITAET_WERT	Oelsensor Qualität	OZ_PERMAKT	unsigned integer	-	-	
-	0x440B	STAT_0x440B_WERT	Länderfaktor 1 codiert	OZ_LF1C	unsigned char	-	-	
-	0x440C	STAT_0x440C_WERT	Länderfaktor 2 codiert	OZ_LF2C	unsigned char	-	-	
-	0x440D	STAT_0x440D_WERT	Länderfaktor 1	OZ_LF1T	unsigned char	-	-	
-	0x440E	STAT_0x440E_WERT	Länderfaktor 2	OZ_LF2T	unsigned char	-	-	
-	0x440F	STAT_0x440F_WERT	Kurzmittelwert-Niveau für den Tester	OZ_NIVKRZT	unsigned char	-	mm manuell	
-	0x4410	STAT_0x4410_WERT	Restweg aus Permittivität abgeleitet	OZ_RWPERM	signed integer	-	km	
-	0x4411	STAT_0x4411_WERT	Restweg aus Kraftstoffverbrauch abgeleitet	OZ_RWKVB	signed integer	-	km	
-	0x4412	STAT_0x4412_WERT	Öl-Alter in Monate	OZ_OELZEIT	unsigned integer	-	-	
-	0x4413	STAT_0x4413_WERT	aufbereitete Permittivität bei letztem Ölwechsel	OZ_PERMLOW	unsigned integer	-	-	
-	0x4414	STAT_0x4414_WERT	Permittivität für Bewertung aufbereitet (extrapoliert)	OZ_PERMEX	unsigned integer	-	-	
-	0x4415	STAT_0x4415_WERT	Offset für Permittivitätskorrektur	OZ_PERMOFF	unsigned integer	-	-	
-	0x4416	STAT_0x4416_WERT	zugeteilte Bonuskraftstoffmenge	OZ_KVBOG	unsigned integer	-	-	
-	0x4417	STAT_0x4417_WERT	zugeteilter Permittivitätsbonus	OZ_PERMBOG	unsigned integer	-	-	
IWVEX	0x4500	STAT_VVT_EXCENTER_WERT	VVT-Excenter Istwert	ANG_EXC_VVL	unsigned integer	-	Grad	
SWVEX	0x4501	STAT_VVT_EXCENTER_SOLL_WERT	VVT-Excenter Sollwert	ANG_SP_VVL	unsigned integer	-	°	
IWVVB	0x4502	STAT_VVT_VERSTELLBEREICH_LERNROUTINE_WERT	Mechanischer Verstellbereich VVT aus Lernroutine	ANG_STK_VVL	unsigned integer	-	Grad	
SWVLR	0x4503	STAT_VVT_LAGEREGLER_SOLL_WERT	Sollwert für Lageregler	ANG_SP_VVL_CUS	unsigned integer	-	°	
SWVLT	0x4504	STAT_VVT_LAGEREGLER_SOLL_VON_TESTER_WERT	Sollwert für Lageregler vom Tester	ANG_SP_EXT_ADJ_VVL	unsigned char	-	Grad	
SSPEI	0x4505	STAT_VVT_EINLASSSPREIZUNG_SOLL_WERT	Sollwert Einlassspreizung	CAM_SP_IVVT_IN	signed integer	-	°CRK	
IPNWE	0x4506	STAT_POSITION_NOCKENWELLE_EINLASS_WERT	Nockenwellenposition Einlass	PSN_CAM_IN_1	unsigned integer	-	°CRK	
IPNWA	0x4507	STAT_POSITION_NOCKENWELLE_AUSLASS_WERT	Nockenwellenposition Auslass	PSN_CAM_EX_1	unsigned integer	-	°CRK	
ISNWE	0x4508	STAT_NW_EINLASSSPREIZUNG_WERT	Istwert Einlassspreizung	CAM_IN[1]	signed integer	-	°CRK	
ISNWA	0x4509	STAT_NW_AUSLASSSPREIZUNG_WERT	Istwert Auslassspreizung	CAM_EX[1]	unsigned char	-	°CRK	
