time;LTFT add. B1;LTFT add. B2;LTFT mul. B1;LTFT mul. B2;InjTmCyl1;STFT B1;STFT B2;Coolant;Lambda B1;Lambda B2;RPM
13;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
54;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
94;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
134;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
173;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
215;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
254;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
295;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
336;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
375;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
414;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
455;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
493;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
535;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
574;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
615;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
653;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
695;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
736;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
775;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
813;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
855;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
894;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
935;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
976;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
1014;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
1054;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
1095;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
1134;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
1174;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
1215;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
1254;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
1294;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
1335;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
1374;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
1413;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
1454;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
